Johann,johann@gmail.com,1,1,1.3,0.5
Peeter,peeter@rambler.ru,1,0.1,1.3,0.5
Katrin,katrin@katrin.cz,0.8,1,1.5,0.7
Maaria,maaria@eesti.ee,1,1,1.5,1.5
Kalevipoeg,kalevipoeg@eesti.ee,1,1,1.4,1.4
Sauron,sauron@dolguldur.mo,1,1,1.5,1.4
JHVH,jhvh@aketer.sf,1,1,1.5,1.5
Shepard,shepard@normandy.al,0.5,0.2,1.1,0.9
JackSparrow,captain@jacksparrow.bp,0.4,0.2,1.3,1.2
Judas,judas@gethesemane.is,0.1,0,0,1.5
Severus,50pointsto@slytherin.uk,1,1,1.4,1.3
Arhimedes,arhimedes@bath.eurica,1,0.9,1.4,1.5
EndOfFile,error@savemy.pc,0,0.5,0.7,1
