Geralt,geralt@rivia.com,66,56,76,87,67,55,66
Fjodor,fjodor@rambler.ru,67,56,65,66,86,75,22
Katrina,katrina@katrin.cz,67,55,44,74,38,76,58
Marta,marta@eesti.ee,98,87,78,77,87,78,88
Yormungand,yormungand@ginnungagap.se,66,56,54,34,55,76,56
Mario,mario@wrongcastle.com,87,87,88,84,46,74,77
Cloud,cloud@aeriswilldie.jp,99,75,34,43,60,98,88
Thor,thor@asgard.se,88,67,79,74,82,86,82
Harry,harry@gryffindor.uk,54,34,66,76,66,56,54
Elrond,elrond@imladris.me,90,94,96,91,92,94,97
Ashurbanipal,ashurbanipal@unuk.as,56,54,77,65,56,62,65
RandomDude,imout@ofideas.helpme,77,87,74,54,89,96,54
Isldur,yousshouldhave@destroyedthering.fool,9,12,31,100,45,54,22
