Geralt,geralt@rivia.com,1,1,1.5,1.5
Fjodor,fjodor@rambler.ru,0.8,0.1,1.1,0.6
Katrina,katrina@katrin.cz,0.7,1,1.4,0.7
Marta,marta@eesti.ee,1,1,1.5,1.5
Yormungand,yormungand@ginnungagap.se,1,1,1.5,1.5
Mario,mario@wrongcastle.com,0.6,0.4,1.3,0.2
Cloud,cloud@aeriswilldie.jp,0.4,0.7,0.8,1.2
Thor,thor@asgard.se,0.1,0,0.4,0.2
Harry,harry@gryffindor.uk,0.5,0.7,0.8,1.0
Elrond,elrond@imladris.me,1,1,1.5,1.5
Ashurbanipal,ashurbanipal@unuk.as,1,0.9,1.4,1.4
RandomDude,imout@ofideas.helpme,0.7,0.5,1.2,1.4
Isldur,yousshouldhace@destroyedthering.fool,0.3,0.1,0.1,0.8
